id,entity,description,number of relationships,in_context
0,한성대학교,"한성대학교는 서울특별시 성북구에 위치한 교육 기관으로, 다양한 전공과 과목을 운영하며 교육과 연구에 힘쓰고 있습니다. 이 대학은 ACPC 2025 대회를 주최하는 기관으로, 알고리즘 대회 경험을 제공하는 등 IT 분야에서의 교육에 중점을 두고 있습니다. 한성대학교는 가상현실, 모바일 소프트웨어, 데이터베이스, 데이터 마이닝, 소프트웨어 설계, 웹공학, 컴퓨터 구조, 컴퓨터 그래픽스, 컴퓨터 비전 등 다양한 과목을 포함한 교육과정을 제공합니다.

또한, 한성대학교는 컴퓨터공학부를 포함한 여러 학부를 운영하며, 학생들의 학업 증진을 위해 다양한 프로그램과 대회를 개최합니다. 이 대학은 보안 프로그래밍, 프로그래밍 언어론, 고급 시스템 프로그래밍, 네트워크 프로그래밍, 알고리즘 관련 과목 등도 제공하고 있습니다. 한성대학교는 학생들에게 인턴십 프로그램과 채용설명회, 일학습병행 설명회 등 다양한 기회를 제공하여 실무 경험을 쌓을 수 있도록 지원합니다.

모빌리티 및 사이버보안 연구실을 운영하며, 자동차 소프트웨어 및 정보보호 분야의 연구원을 모집하는 등 연구와 실습 기회를 확대하고 있습니다. 한성대학교는 한국의 대학교로서, 다양한 학문 분야에서 교육과 연구를 제공하며, 학생들에게 폭넓은 학습 경험을 제공합니다. 

모순된 정보가 발견되었습니다. ""한성대학교는 교육과정을 제공하는 대학교로, 다양한 전공과 과목을 운영합니다""라는 설명이 여러 번 반복되었지만, 구체적인 과목이나 전공에 대한 정보는 다소 중복되어 있습니다. 그러나 전반적으로 한성대학교는 다양한 전공과 과목을 제공하는 교육 기관으로서의 역할을 명확히 하고 있습니다.",124,False
57,이항찬,"이항찬은 디지털콘텐츠·가상현실트랙의 교수이며, 전화번호는 02-760-4307입니다. 그러나 다른 출처에 따르면 이항찬은 웹공학트랙의 교수로도 언급되고 있으며, 이 경우에도 전화번호와 이메일이 제공된다고 합니다. 

모순된 정보가 발견되었습니다. ""첫 번째 출처에 따르면 이항찬은 디지털콘텐츠·가상현실트랙의 교수이지만, 두 번째 출처에 따르면 웹공학트랙의 교수라고 합니다."" 

이 정보를 종합적으로 고려할 때, 이항찬은 여러 트랙에서 교수로 활동하고 있을 가능성이 있습니다. 그러나 어떤 트랙이 주된 역할인지에 대한 명확한 정보는 부족합니다. 따라서 이항찬은 디지털콘텐츠·가상현실트랙과 웹공학트랙 모두에서 교수로 활동하는 것으로 추정할 수 있습니다.",4,False
226,AI를 이용한 주식가치평가,"""AI를 이용한 주식가치평가""는 3학점의 교과목으로, 주식의 가치를 평가하는 방법을 교육하는 내용을 포함하고 있습니다. 이 과목은 웹공학 트랙의 필수 교과목 중 하나로 지정되어 있습니다. 

모순된 정보가 발견되지 않았습니다. 모든 출처가 이 과목의 학점 수와 교육 내용을 일치하게 설명하고 있으며, 웹공학 트랙의 필수 과목이라는 점도 동일하게 언급되고 있습니다. 따라서 ""AI를 이용한 주식가치평가""는 주식 가치 평가 방법을 교육하는 3학점의 필수 교과목으로 이해할 수 있습니다.",3,False
59,황호영,"황호영은 웹공학 트랙의 교수로, 이메일과 전화번호가 제공됩니다
황호영은 웹공학트랙의 교수로, 전화번호와 이메일이 제공됩니다",2,True
230,프로그래밍언어론,"프로그래밍언어론은 C 프로그램의 기본적인 문법을 학습하고 실습을 통해 공학적 응용문제를 해결하는 방법을 익히는 과목입니다. 또한, 이 과목은 웹공학 트랙의 전선 교과목으로, 다양한 프로그래밍 언어의 이론을 다룹니다. 

모순된 정보가 발견되었습니다. 첫 번째 출처에 따르면 프로그래밍언어론은 C 프로그램의 문법과 응용문제 해결에 중점을 두고 있지만, 두 번째 출처에서는 이 과목이 다양한 프로그래밍 언어의 이론을 다룬다고 합니다. 

이 두 가지 설명을 종합적으로 고려할 때, 프로그래밍언어론은 C 언어를 포함한 여러 프로그래밍 언어의 이론과 실습을 통해 학생들이 공학적 문제를 해결하는 능력을 기르는 과목으로 이해할 수 있습니다. 따라서, 두 설명 모두 신뢰할 수 있으며, 프로그래밍언어론의 범위가 C 언어에 국한되지 않고 다양한 언어를 포함한다는 결론을 내릴 수 있습니다.",5,False
54,박승현,"박승현 교수는 모빌리티 및 사이버보안 연구실의 지도교수이며, 웹공학 트랙의 교수로 활동하고 있습니다. 그의 연락처 정보로는 전화번호와 이메일, 홈페이지가 제공됩니다. 

모순된 정보가 발견되었습니다. 첫 번째 출처에 따르면 박승현 교수는 모빌리티 및 사이버보안 연구실의 지도교수라고 하지만, 두 번째 출처에서는 웹공학 트랙의 교수로만 언급되고 있습니다. 

이 경우, 두 번째 출처의 정보가 더 구체적이며, 박승현 교수가 웹공학 트랙의 교수로서도 활동하고 있다는 점에서 신뢰할 수 있습니다. 따라서 박승현 교수는 모빌리티 및 사이버보안 연구실의 지도교수이자 웹공학 트랙의 교수로서 다양한 역할을 수행하고 있다고 결론지을 수 있습니다.",3,False
442,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/141/1608/ARTCLVIEW.DO,한성대학교의 프로그래밍언어론 과목에 대한 정보가 담긴 웹사이트 링크입니다,1,True
56,황기태,"황기태는 웹공학 트랙의 교수로, 이메일과 홈페이지가 제공됩니다
황기태는 웹공학트랙의 교수로, 전화번호와 이메일, 홈페이지가 제공됩니다",2,True
232,금융,"금융은 웹공학의 융합 서비스 중 하나로, 웹 기반의 금융 서비스 개발을 포함합니다.",1,False
240,클라우드 환경,,1,False
4,교육과정소개,"교육과정소개는 한성대학교에서 제공하는 과목에 대한 정보를 정리한 내용으로, 다양한 교과목과 그에 대한 정보를 포함하는 섹션입니다. 이 소개는 한성대학교의 다양한 과목과 학점에 대한 정보를 제공하며, 특히 데이터베이스 과목에 대한 정보도 포함하고 있습니다. 

제공된 설명들 간에 모순된 정보는 발견되지 않았습니다. 모든 설명은 교육과정소개가 한성대학교의 교과목에 대한 정보를 제공하는 데 중점을 두고 있으며, 다양한 과목과 학점에 대한 정보를 포함하고 있다는 점에서 일관성을 보입니다. 따라서, 교육과정소개는 한성대학교의 교과목에 대한 포괄적인 정보를 제공하는 중요한 섹션으로 이해할 수 있습니다.",8,False
58,정인환,"정인환은 웹공학 트랙의 교수로, 이메일과 전화번호가 제공됩니다
정인환은 웹공학트랙의 교수로, 전화번호와 이메일이 제공됩니다",2,True
229,객체지향언어1,"객체지향언어1은 웹공학 트랙의 전선 교과목으로, 객체지향 프로그래밍의 기초를 다룹니다.",1,False
416,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/144/2671/ARTCLVIEW.DO,이 URL은 한성대학교의 웹프로그래밍 과목에 대한 정보를 제공합니다,1,False
443,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/143/2673/ARTCLVIEW.DO,이 URL은 한성대학교의 웹프로그래밍 과목에 대한 정보를 제공합니다,1,False
119,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/142/2672/ARTCLVIEW.DO,이 URL은 한성대학교의 웹프로그래밍 과목에 대한 정보를 제공합니다,1,False
135,빅데이터,"빅데이터는 웹공학에서 다루는 데이터 처리 기술로, 대량의 데이터를 수집하고 분석하는 방법론입니다. 또한, 빅데이터는 한성대학교의 소프트웨어 관련 교육 프로그램 중 하나로도 알려져 있습니다. 

모순된 정보가 발견되지 않았습니다. 두 설명은 빅데이터의 기술적 측면과 교육적 측면을 각각 다루고 있으며, 서로를 보완하는 내용입니다. 따라서 빅데이터는 기술적 방법론이자 교육 프로그램으로서의 역할을 동시에 수행하고 있다고 할 수 있습니다.",3,False
231,IOT,"IoT는 웹공학에서 다루는 기술로, 다양한 기기들이 인터넷을 통해 연결되어 데이터를 주고받는 시스템입니다.",1,False
237,실무 프로젝트 교육,"실무 프로젝트 교육은 웹공학 트랙의 교육 내용 중 하나로, 실제 산업 현장에서의 경험을 제공합니다.",1,True
316,537,웹프로그래밍기초 중간시험이 진행될 시험장소입니다,1,False
204,융합캡스톤디자인,"융합캡스톤디자인은 한성대학교에서 제공하는 교과목으로, 3학점으로 구성되어 있습니다",5,False
52,김성동,"김성동은 웹공학트랙의 교수로, 전화번호와 이메일이 제공됩니다
김성동은 웹공학 트랙의 교수로, 이메일과 전화번호가 제공됩니다",2,True
53,김남윤,"김남윤은 웹공학트랙의 교수로, 전화번호와 이메일, 홈페이지가 제공됩니다
김남윤은 웹공학 트랙의 교수로, 이메일과 홈페이지가 제공됩니다",2,True
60,웹공학트랙,,10,True
67,컴퓨터공학부,,21,False
451,HTTPS://HANSUNG.AC.KR/CURRICULUM/CSE/142/3642/ARTCLVIEW.DO,이 URL은 한성대학교의 비즈니스 웹어플리케이션 구축 프로젝트에 대한 정보를 제공합니다,1,True
