id,entity,description,number of relationships,in_context
105,서비스,안드로이드에서 백그라운드에서 실행되는 기능. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.,3,False
69,소프트웨어 개발,프로그래밍랩 과목에서 배우는 소프트웨어 개발의 전 과정,1,True
23,결합도,"소프트웨어 설계 원리 중 하나로, 모듈 간의 의존성을 나타냄",1,True
0,한성대학교,"한성대학교는 서울특별시 성북구에 위치한 교육기관으로, 다양한 학과와 프로그램을 운영하는 대학교이다. 이 대학은 AI를 이용한 주식가치평가, SW 통합구현(IPP), SW설계 및 테스트(IPP), 고급 모바일 프로그래밍, 네트워크 프로그래밍, 데이터 마이닝, 데이터베이스, 디지털 콘텐츠 기획 및 제작, 빅데이터 기초 및 캡스톤 디자인, 소프트웨어 공학, 웹서버 프로그래밍, 웹 프로그래밍, 클라우드 컴퓨팅, 컴퓨터 구조, 컴퓨터 그래픽스, 프로그래밍랩 등 다양한 과목을 제공하고 있다.

특히, 한성대학교는 컴퓨터공학부를 포함한 교육 기관으로, 컴퓨터공학부의 교육과정과 외부 교육과정 안내를 제공하며, 코딩라운지를 운영하고 있다. 또한, 신입사원 채용설명회를 안내하고, 전공 심화 교육 및 캡스톤 디자인 팀 신청을 지원하는 프로그램도 운영하고 있다.

모순된 정보가 발견되었습니다. ""한성대학교는 컴퓨터공학부를 포함한 교육 기관입니다. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.""이라는 설명이 있는 반면, ""한성대학교는 컴퓨터공학부를 포함한 교육 기관입니다. 이 내용은 한성대학교 문서에서 추출함. 페이지 정보 없음."" 및 ""한성대학교는 컴퓨터공학부를 포함한 교육 기관입니다. 이 내용은 한성대학교 웹사이트에서 추출함. 페이지에 위치함.""이라는 설명도 존재합니다. 

이러한 모순을 고려할 때, 한성대학교의 공식 문서나 웹사이트에서 제공하는 정보가 더 신뢰할 수 있는 것으로 판단된다. 따라서, 한성대학교는 컴퓨터공학부를 포함한 교육 기관이라는 점은 확실하다고 할 수 있다. 

결론적으로, 한성대학교는 다양한 교육과정을 제공하며, 특히 컴퓨터공학부와 관련된 과목 및 프로그램에 중점을 두고 운영되고 있는 교육기관이다.",90,False
3,3,"한성대학교의 여러 과목에 대한 학점 정보가 수집되었다. 이 정보는 다음과 같은 과목들에 대한 학점 수를 포함하고 있다:

1. **AI를 이용한 주식가치평가 과목의 학점 수**
2. **SW 통합구현(IPP) 과목의 학점**
3. **객체지향언어2의 학점 수**
4. **고급모바일프로그래밍 과목의 학점** - 이 내용은 한성대학교 문서에서 추출되었으며, 1페이지에 위치한다.
5. **고급시스템프로그래밍 과목의 학점** - 이 내용 또한 한성대학교 문서에서 추출되었으며, 1페이지에 위치한다.
6. **네트워크프로그래밍 과목의 학점** - 이 과목을 이수할 경우 부여되는 학점 수이다.
7. **데이터마이닝 과목의 학점** - 이 과목을 이수할 경우 부여되는 학점 수이다.
8. **데이터베이스 과목의 학점 수** - 이 과목은 3학점으로 설정되어 있으며, 이 내용은 한성대학교 문서에서 추출되었고, 1페이지에 위치한다.
9. **데이터베이스 과목의 학점** - 이 과목을 이수할 경우 부여되는 학점 수이다.
10. **디지털 콘텐츠 기획 및 제작 과목의 학점 수**
11. **사용자인터페이스와 서버구현(IPP) 과목의 학점**
12. **소프트웨어공학 과목의 학점**
13. **웹서버프로그래밍 과목의 학점** - 이 내용은 한성대학교 문서에서 추출되었으며, 1페이지에 위치한다.
14. **웹프로그래밍 과목의 학점**
15. **융합캡스톤디자인 과목의 학점**
16. **취창업 세미나의 학점**
17. **컴파일러 과목의 학점** - 이 과목을 이수할 경우 부여되는 학점 수이다.
18. **컴퓨터구조 과목의 학점**
19. **컴퓨터그래픽스 과목",21,False
27,화이트 박스 테스트,소프트웨어의 내부 구조를 고려하여 테스트하는 방법,1,True
30,소프트웨어 라이프 사이클,,1,True
265,산업체 수요 기반 특성화 트랙,산업체의 수요를 반영하여 전공 심화 교육을 실시하는 프로그램,5,False
261,2025.03.14,캡스톤디자인 팀 신청 공지사항의 날짜,1,True
19,소프트웨어공학,"소프트웨어 라이프 사이클, 설계 원리, 테스트 주도 개발 등을 포함한 과목",13,True
82,윈도우즈,"네트워크프로그래밍 과목에서 다루는 운영 체제 중 하나로, 소프트웨어 개발 실습에 사용됨. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.",1,True
59,HTTPS://WWW.CATCH.CO.KR/NCS/RECRUITINFODETAILS/440943,삼성웰스토리의 신입사원 채용정보에 대한 참고 URL,1,True
182,코딩라운지,"학생들이 코딩 관련 질문을 할 수 있는 공간으로, 3.24부터 6.6까지 운영됨",7,False
109,가속 센서,"안드로이드에서 제공하는 하드웨어 기능으로, 기기의 움직임을 감지하는 센서. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.",1,False
78,네트워크프로그래밍,TCP/IP 프로토콜을 중심으로 여러 프로토콜을 이해하고 소프트웨어에서 이용하기 위한 방법론을 배우는 과목. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.,11,False
21,교과목 소개,"""교과목 소개""에 대한 종합적인 설명은 다음과 같다. 이 설명은 한성대학교의 문서에서 추출된 여러 정보를 바탕으로 작성되었다.

교과목 소개에는 고급 모바일 프로그래밍, 소프트웨어공학, 프로그래밍랩 과목에 대한 정보가 포함되어 있다. 특히, 고급 모바일 프로그래밍 과목은 한성대학교 문서의 1페이지에 위치하고 있으며, 이 과목의 세부 내용이 제공된다. 또한, 소프트웨어공학 과목과 프로그래밍랩 과목에 대한 소개도 포함되어 있지만, 이들 과목에 대한 구체적인 세부사항은 명시되어 있지 않다.

한성대학교의 교과목에 대한 전반적인 소개는 이 문서의 1페이지에 위치하고 있으며, 교육과정에 대한 정보도 포함되어 있다. 이는 한성대학교의 교육과정이 어떻게 구성되어 있는지를 설명하는 데 도움을 준다.

모순된 정보는 발견되지 않았으며, 제공된 모든 설명은 한성대학교의 교과목과 관련된 내용을 일관되게 다루고 있다. 따라서, 한성대학교의 교과목 소개는 고급 모바일 프로그래밍, 소프트웨어공학, 프로그래밍랩 과목을 포함한 다양한 과목에 대한 정보를 제공하며, 교육과정에 대한 전반적인 이해를 돕는 자료로 볼 수 있다.",7,False
187,튜터,코딩라운지에서 학생들을 도와주는 튜터들,1,True
195,OPEN SOFTWARE R,데이터마이닝 알고리즘을 구현하기 위해 사용하는 오픈 소스 소프트웨어.,1,True
20,V020013,소프트웨어공학 과목의 코드,1,True
29,변경 관리 프로세스,소프트웨어의 변경 사항을 관리하는 절차,1,True
83,C,"네트워크프로그래밍 과목에서 사용하는 프로그래밍 언어 중 하나로, 소프트웨어 개발 실습에 포함됨. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.",1,True
108,위치 인식,"안드로이드에서 제공하는 기본적인 하드웨어 기능 중 하나로, 사용자의 위치를 인식하는 기술. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.",1,False
103,고급모바일프로그래밍,안드로이드에서 기본적인 응용 프로그램을 개발 기술을 학습한 학생들을 대상으로 고급 애플리케이션 개발을 학습하는 과목. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.,13,True
28,결함,소프트웨어에서 발생할 수 있는 오류나 문제,1,True
84,C++,"네트워크프로그래밍 과목에서 사용하는 프로그래밍 언어 중 하나로, 소프트웨어 개발 실습에 포함됨. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.",1,True
24,테스트 주도 개발,"소프트웨어 개발 방법론 중 하나로, 테스트 케이스를 먼저 작성한 후 코드를 개발하는 방식",1,False
104,V021006,고급모바일프로그래밍 과목의 코드. 이 내용은 한성대학교 문서에서 추출함. 1페이지에 위치함.,1,True
259,캡스톤디자인,학생들이 팀을 구성하여 프로젝트를 진행하는 교육 프로그램,3,False
22,응집도,"소프트웨어 설계 원리 중 하나로, 모듈 내의 요소들이 얼마나 밀접하게 관련되어 있는지를 나타냄",1,False
