id,source,target,description,weight,links,in_context
19,한성대학교,소프트웨어공학,한성대학교는 소프트웨어공학 과목을 제공한다.,9.0,3,True
20,소프트웨어공학,V020013,소프트웨어공학 과목의 코드가 V020013이다.,10.0,1,True
21,소프트웨어공학,3,소프트웨어공학 과목의 학점은 3이다.,10.0,2,True
22,소프트웨어공학,교과목 소개,교과목 소개는 소프트웨어공학 과목에 대한 내용을 포함한다.,9.0,2,True
23,소프트웨어공학,소프트웨어 라이프 사이클,소프트웨어공학 과목에서는 소프트웨어 라이프 사이클을 이해하는 내용을 포함한다.,9.0,2,True
24,소프트웨어공학,응집도,소프트웨어공학 과목에서는 응집도와 결합도와 같은 설계 원리를 배운다.,9.0,1,True
25,소프트웨어공학,결합도,소프트웨어공학 과목에서는 응집도와 결합도와 같은 설계 원리를 배운다.,9.0,1,True
26,소프트웨어공학,테스트 주도 개발,소프트웨어공학 과목에서는 테스트 주도 개발과 같은 애자일 방법론을 포함한다.,9.0,1,True
27,소프트웨어공학,애자일 방법론,소프트웨어공학 과목에서는 테스트 주도 개발과 같은 애자일 방법론을 포함한다.,9.0,1,True
28,소프트웨어공학,블랙박스 테스트,소프트웨어공학 과목에서는 블랙박스 화이트 박스 테스트 설계 방법을 포함한다.,9.0,1,True
29,소프트웨어공학,화이트 박스 테스트,소프트웨어공학 과목에서는 블랙박스 화이트 박스 테스트 설계 방법을 포함한다.,9.0,1,True
30,소프트웨어공학,결함,소프트웨어공학 과목에서는 결함 발생 시 적용되는 프로세스를 학습한다.,9.0,2,True
31,소프트웨어공학,변경 관리 프로세스,소프트웨어공학 과목에서는 변경 관리 프로세스에 대해 학습한다.,9.0,1,True
56,삼성웰스토리,HTTPS://WWW.CATCH.CO.KR/NCS/RECRUITINFODETAILS/440943,삼성웰스토리의 신입사원 채용정보는 해당 URL에서 확인할 수 있다.,9.0,1,True
72,프로그래밍랩,소프트웨어 개발,프로그래밍랩 과목은 소프트웨어 개발의 전 과정을 배운다.,9.0,1,True
86,네트워크프로그래밍,UNIX,네트워크프로그래밍 과목에서 UNIX 환경에서의 개발 실습이 포함된다.,9.0,5,True
87,네트워크프로그래밍,윈도우즈,네트워크프로그래밍 과목에서 윈도우즈 환경에서의 개발 실습이 포함된다.,9.0,5,True
88,네트워크프로그래밍,C,네트워크프로그래밍 과목에서 C 언어를 사용하여 개발 실습을 진행한다.,9.0,5,True
89,네트워크프로그래밍,C++,네트워크프로그래밍 과목에서 C++ 언어를 사용하여 개발 실습을 진행한다.,9.0,5,True
91,네트워크프로그래밍,ANDROID,네트워크프로그래밍 과목에서 Android 언어를 사용하여 개발 실습을 진행한다.,9.0,5,True
123,한성대학교,고급모바일프로그래밍,한성대학교에서 제공하는 고급 모바일 프로그래밍 과목.,10.0,3,True
124,고급모바일프로그래밍,V021006,고급모바일프로그래밍 과목의 코드가 V021006임.,10.0,1,True
125,고급모바일프로그래밍,3,고급모바일프로그래밍 과목의 학점이 3임.,10.0,2,True
126,고급모바일프로그래밍,교과목 소개,교과목 소개에서 고급 모바일 프로그래밍 과목에 대한 설명이 포함됨.,9.0,2,True
127,고급모바일프로그래밍,교육과정소개,교육과정소개에서 고급 모바일 프로그래밍 과목의 교육 과정에 대한 설명이 포함됨.,9.0,1,True
128,고급모바일프로그래밍,안드로이드,고급 모바일 프로그래밍 과목에서 안드로이드 플랫폼을 학습함.,10.0,1,True
129,고급모바일프로그래밍,서비스,고급 모바일 프로그래밍 과목에서 안드로이드의 서비스에 대해 학습함.,10.0,1,True
130,고급모바일프로그래밍,위치 인식,고급 모바일 프로그래밍 과목에서 위치 인식 기술을 학습함.,10.0,1,True
131,고급모바일프로그래밍,가속 센서,고급 모바일 프로그래밍 과목에서 가속 센서 기술을 학습함.,10.0,1,True
132,고급모바일프로그래밍,환경 센서,고급 모바일 프로그래밍 과목에서 환경 센서 기술을 학습함.,10.0,1,True
133,고급모바일프로그래밍,음성 관련 API,고급 모바일 프로그래밍 과목에서 음성 관련 API를 학습함.,10.0,1,True
134,고급모바일프로그래밍,오디오 및 비디오,고급 모바일 프로그래밍 과목에서 오디오 및 비디오 관련 기술을 학습함.,10.0,1,True
135,고급모바일프로그래밍,마켓 등록 과정,고급 모바일 프로그래밍 과목에서 애플리케이션의 마켓 등록 과정을 학습함.,10.0,1,True
223,코딩라운지,튜터,튜터들은 코딩라운지에서 학생들을 도와준다.,9.0,1,True
237,데이터마이닝,OPEN SOFTWARE R,데이터마이닝 과목에서 알고리즘 구현을 위해 Open Software R을 사용한다.,9.0,1,True
290,캡스톤디자인,2025.03.14,캡스톤디자인 팀 신청 공지사항은 2025년 3월 14일에 발표되었다.,9.0,1,True
292,산업체 수요 기반 특성화 트랙,모바일 소프트웨어,모바일 소프트웨어는 특성화 트랙 중 하나이다.,8.0,1,True
339,임베디드 소프트웨어,한성대학교,한성대학교는 임베디드 소프트웨어 관련 교육을 제공함,9.0,3,True
340,임베디드 소프트웨어,GLOBAL 저변 확대,임베디드 소프트웨어의 글로벌 저변 확대를 위한 활동이 진행됨,8.0,1,True
